cancer_group,year,sex,count,icd_codes,lower_age,upper_age,datatype
Melanoma of the skin,1982.0,Males,0.0,C43,0,4,Incidence
Melanoma of the skin,1982.0,Males,0.0,C43,5,9,Incidence
Melanoma of the skin,1982.0,Males,6.0,C43,10,14,Incidence
Melanoma of the skin,1982.0,Males,30.0,C43,15,19,Incidence
Melanoma of the skin,1982.0,Males,52.0,C43,20,24,Incidence
Melanoma of the skin,1982.0,Males,83.0,C43,25,29,Incidence
Melanoma of the skin,1982.0,Males,125.0,C43,30,34,Incidence
Melanoma of the skin,1982.0,Males,115.0,C43,35,39,Incidence
Melanoma of the skin,1982.0,Males,134.0,C43,40,44,Incidence
Melanoma of the skin,1982.0,Males,130.0,C43,45,49,Incidence
Melanoma of the skin,1982.0,Males,179.0,C43,50,54,Incidence
Melanoma of the skin,1982.0,Males,195.0,C43,55,59,Incidence
Melanoma of the skin,1982.0,Males,200.0,C43,60,64,Incidence
Melanoma of the skin,1982.0,Males,186.0,C43,65,69,Incidence
Melanoma of the skin,1982.0,Males,145.0,C43,70,74,Incidence
Melanoma of the skin,1982.0,Males,82.0,C43,75,79,Incidence
Melanoma of the skin,1982.0,Males,54.0,C43,80,84,Incidence
Melanoma of the skin,1982.0,Males,14.0,C43,85,89,Incidence
Melanoma of the skin,1982.0,Males,4.0,C43,90,100,Incidence
Melanoma of the skin,1983.0,Males,1.0,C43,0,4,Incidence
Melanoma of the skin,1983.0,Males,2.0,C43,5,9,Incidence
Melanoma of the skin,1983.0,Males,4.0,C43,10,14,Incidence
Melanoma of the skin,1983.0,Males,27.0,C43,15,19,Incidence
Melanoma of the skin,1983.0,Males,51.0,C43,20,24,Incidence
Melanoma of the skin,1983.0,Males,77.0,C43,25,29,Incidence
Melanoma of the skin,1983.0,Males,125.0,C43,30,34,Incidence
Melanoma of the skin,1983.0,Males,135.0,C43,35,39,Incidence
Melanoma of the skin,1983.0,Males,126.0,C43,40,44,Incidence
Melanoma of the skin,1983.0,Males,139.0,C43,45,49,Incidence
Melanoma of the skin,1983.0,Males,172.0,C43,50,54,Incidence
Melanoma of the skin,1983.0,Males,203.0,C43,55,59,Incidence
Melanoma of the skin,1983.0,Males,228.0,C43,60,64,Incidence
Melanoma of the skin,1983.0,Males,203.0,C43,65,69,Incidence
Melanoma of the skin,1983.0,Males,155.0,C43,70,74,Incidence
Melanoma of the skin,1983.0,Males,108.0,C43,75,79,Incidence
Melanoma of the skin,1983.0,Males,38.0,C43,80,84,Incidence
Melanoma of the skin,1983.0,Males,16.0,C43,85,89,Incidence
Melanoma of the skin,1983.0,Males,10.0,C43,90,100,Incidence
Melanoma of the skin,1984.0,Males,0.0,C43,0,4,Incidence
Melanoma of the skin,1984.0,Males,1.0,C43,5,9,Incidence
Melanoma of the skin,1984.0,Males,4.0,C43,10,14,Incidence
Melanoma of the skin,1984.0,Males,35.0,C43,15,19,Incidence
Melanoma of the skin,1984.0,Males,55.0,C43,20,24,Incidence
Melanoma of the skin,1984.0,Males,92.0,C43,25,29,Incidence
Melanoma of the skin,1984.0,Males,111.0,C43,30,34,Incidence
Melanoma of the skin,1984.0,Males,133.0,C43,35,39,Incidence
Melanoma of the skin,1984.0,Males,158.0,C43,40,44,Incidence
Melanoma of the skin,1984.0,Males,155.0,C43,45,49,Incidence
Melanoma of the skin,1984.0,Males,192.0,C43,50,54,Incidence
Melanoma of the skin,1984.0,Males,209.0,C43,55,59,Incidence
Melanoma of the skin,1984.0,Males,222.0,C43,60,64,Incidence
Melanoma of the skin,1984.0,Males,224.0,C43,65,69,Incidence
Melanoma of the skin,1984.0,Males,196.0,C43,70,74,Incidence
Melanoma of the skin,1984.0,Males,120.0,C43,75,79,Incidence
Melanoma of the skin,1984.0,Males,54.0,C43,80,84,Incidence
Melanoma of the skin,1984.0,Males,24.0,C43,85,89,Incidence
Melanoma of the skin,1984.0,Males,7.0,C43,90,100,Incidence
Melanoma of the skin,1985.0,Males,0.0,C43,0,4,Incidence
Melanoma of the skin,1985.0,Males,0.0,C43,5,9,Incidence
Melanoma of the skin,1985.0,Males,2.0,C43,10,14,Incidence
Melanoma of the skin,1985.0,Males,27.0,C43,15,19,Incidence
Melanoma of the skin,1985.0,Males,59.0,C43,20,24,Incidence
Melanoma of the skin,1985.0,Males,107.0,C43,25,29,Incidence
Melanoma of the skin,1985.0,Males,139.0,C43,30,34,Incidence
Melanoma of the skin,1985.0,Males,163.0,C43,35,39,Incidence
Melanoma of the skin,1985.0,Males,168.0,C43,40,44,Incidence
Melanoma of the skin,1985.0,Males,158.0,C43,45,49,Incidence
Melanoma of the skin,1985.0,Males,196.0,C43,50,54,Incidence
Melanoma of the skin,1985.0,Males,255.0,C43,55,59,Incidence
Melanoma of the skin,1985.0,Males,264.0,C43,60,64,Incidence
Melanoma of the skin,1985.0,Males,239.0,C43,65,69,Incidence
Melanoma of the skin,1985.0,Males,213.0,C43,70,74,Incidence
Melanoma of the skin,1985.0,Males,125.0,C43,75,79,Incidence
Melanoma of the skin,1985.0,Males,68.0,C43,80,84,Incidence
Melanoma of the skin,1985.0,Males,30.0,C43,85,89,Incidence
Melanoma of the skin,1985.0,Males,8.0,C43,90,100,Incidence
Melanoma of the skin,1986.0,Males,1.0,C43,0,4,Incidence
Melanoma of the skin,1986.0,Males,0.0,C43,5,9,Incidence
Melanoma of the skin,1986.0,Males,7.0,C43,10,14,Incidence
Melanoma of the skin,1986.0,Males,40.0,C43,15,19,Incidence
Melanoma of the skin,1986.0,Males,62.0,C43,20,24,Incidence
Melanoma of the skin,1986.0,Males,101.0,C43,25,29,Incidence
Melanoma of the skin,1986.0,Males,156.0,C43,30,34,Incidence
Melanoma of the skin,1986.0,Males,186.0,C43,35,39,Incidence
Melanoma of the skin,1986.0,Males,190.0,C43,40,44,Incidence
Melanoma of the skin,1986.0,Males,185.0,C43,45,49,Incidence
Melanoma of the skin,1986.0,Males,196.0,C43,50,54,Incidence
Melanoma of the skin,1986.0,Males,256.0,C43,55,59,Incidence
Melanoma of the skin,1986.0,Males,285.0,C43,60,64,Incidence
Melanoma of the skin,1986.0,Males,255.0,C43,65,69,Incidence
Melanoma of the skin,1986.0,Males,219.0,C43,70,74,Incidence
Melanoma of the skin,1986.0,Males,149.0,C43,75,79,Incidence
Melanoma of the skin,1986.0,Males,77.0,C43,80,84,Incidence
Melanoma of the skin,1986.0,Males,24.0,C43,85,89,Incidence
